timestamp_local,timestamp_utc,BG_long_ct_per_kWh,BG_short_ct_per_kWh,source_file
2024-01-01 11:00:00+01:00,2024-01-01 10:00:00+00:00,-8.52,1.46,swissgrid-prices-for-balance-energy_240101-240201.xlsx
2024-01-01 11:15:00+01:00,2024-01-01 10:15:00+00:00,-9.85,1.46,swissgrid-prices-for-balance-energy_240101-240201.xlsx
2024-01-01 11:30:00+01:00,2024-01-01 10:30:00+00:00,-9.84,1.46,swissgrid-prices-for-balance-energy_240101-240201.xlsx
2024-01-01 11:45:00+01:00,2024-01-01 10:45:00+00:00,-4.47,1.9,swissgrid-prices-for-balance-energy_240101-240201.xlsx
2024-01-01 12:00:00+01:00,2024-01-01 11:00:00+00:00,-4.61,2.32,swissgrid-prices-for-balance-energy_240101-240201.xlsx
2024-01-01 12:15:00+01:00,2024-01-01 11:15:00+00:00,-3.86,2.32,swissgrid-prices-for-balance-energy_240101-240201.xlsx
2024-01-01 12:30:00+01:00,2024-01-01 11:30:00+00:00,-3.86,2.32,swissgrid-prices-for-balance-energy_240101-240201.xlsx
2024-01-01 12:45:00+01:00,2024-01-01 11:45:00+00:00,-3.61,2.31,swissgrid-prices-for-balance-energy_240101-240201.xlsx
2024-01-01 13:00:00+01:00,2024-01-01 12:00:00+00:00,-2.5,2.13,swissgrid-prices-for-balance-energy_240101-240201.xlsx
2024-01-01 13:15:00+01:00,2024-01-01 12:15:00+00:00,-2.5,4.49,swissgrid-prices-for-balance-energy_240101-240201.xlsx
2024-01-01 13:30:00+01:00,2024-01-01 12:30:00+00:00,-2.5,2.13,swissgrid-prices-for-balance-energy_240101-240201.xlsx
2024-01-01 13:45:00+01:00,2024-01-01 12:45:00+00:00,-0.8,6.56,swissgrid-prices-for-balance-energy_240101-240201.xlsx
2024-01-01 14:00:00+01:00,2024-01-01 13:00:00+00:00,-0.77,6.49,swissgrid-prices-for-balance-energy_240101-240201.xlsx
2024-01-01 14:15:00+01:00,2024-01-01 13:15:00+00:00,-0.36,2.45,swissgrid-prices-for-balance-energy_240101-240201.xlsx
2024-01-01 14:30:00+01:00,2024-01-01 13:30:00+00:00,-1.58,6.37,swissgrid-prices-for-balance-energy_240101-240201.xlsx
2024-01-01 14:45:00+01:00,2024-01-01 13:45:00+00:00,-2.64,8.93,swissgrid-prices-for-balance-energy_240101-240201.xlsx
2024-01-01 15:00:00+01:00,2024-01-01 14:00:00+00:00,-1.56,6.71,swissgrid-prices-for-balance-energy_240101-240201.xlsx
2024-01-01 15:15:00+01:00,2024-01-01 14:15:00+00:00,-1.56,8.03,swissgrid-prices-for-balance-energy_240101-240201.xlsx
2024-01-01 15:30:00+01:00,2024-01-01 14:30:00+00:00,-1.56,11.44,swissgrid-prices-for-balance-energy_240101-240201.xlsx
2024-01-01 15:45:00+01:00,2024-01-01 14:45:00+00:00,-1.56,12.23,swissgrid-prices-for-balance-energy_240101-240201.xlsx
2024-01-01 16:00:00+01:00,2024-01-01 15:00:00+00:00,0.15,7.7,swissgrid-prices-for-balance-energy_240101-240201.xlsx
2024-01-01 16:15:00+01:00,2024-01-01 15:15:00+00:00,1.74,8.06,swissgrid-prices-for-balance-energy_240101-240201.xlsx
2024-01-01 16:30:00+01:00,2024-01-01 15:30:00+00:00,1.76,7.61,swissgrid-prices-for-balance-energy_240101-240201.xlsx
